Name,Region,Run By,Website,Archive
Right To Know,Australia,OpenAustralia Foundation,https://www.righttoknow.org.au,https://web.archive.org/web/*/https://www.righttoknow.org.au/
Transparencia (“Transparency”),Belgium,Anticor Belgium,https://transparencia.be,https://web.archive.org/web/*/https://transparencia.be
Queremos Datos (“We want data”),Colombia,Datasketch,https://www.queremosdatos.co,https://web.archive.org/web/*/https://www.queremosdatos.co
Imamo pravo znati (“We have a right to know”),Croatia,Code for Croatia & GONG,http://imamopravoznati.org,https://web.archive.org/web/*/http://imamopravoznati.org/
Informace pro všechny (“Information for all”),Czech Republic,,https://www.infoprovsechny.cz,https://web.archive.org/web/*/https://www.infoprovsechny.cz/
AsktheEU,European Union,Access Info Europe,https://www.asktheeu.org,https://web.archive.org/web/*/https://www.asktheeu.org/
OpenData.ge,Georgia,Institute for Development of Freedom of Information,http://www.opendata.ge/en,https://web.archive.org/web/*/http://www.opendata.ge/en
FragDenStaat (“Ask the State”),Germany,Open Knowledge Foundation Deutschland,https://fragdenstaat.de,https://web.archive.org/web/*/https://fragdenstaat.de/
accessinfo.hk,Hong Kong,,https://accessinfo.hk,https://web.archive.org/web/*/https://accessinfo.hk
Ki Mit Tud? (“Who Knows What?”),Hungary,Atlatszo.hu,https://kimittud.atlatszo.hu,https://web.archive.org/web/*/https://kimittud.atlatszo.hu/
gov.im/foi,Isle of Man,Isle of Man Government,https://www.gov.im/foi,https://web.archive.org/web/*/https://www.gov.im/foi
Ask Data,Israel,The Public Knowledge Workshop,http://www.askdata.org.il,https://web.archive.org/web/*/http://www.askdata.org.il/en
foi.gov.il,Israel,Government of Israel,https://foi.gov.il,https://web.archive.org/web/*/https://foi.gov.il/
Freedom of Information Liberia (InfoLib),Liberia,iLab Liberia,http://infolib.org.lr,https://web.archive.org/web/*/http://infolib.org.lr
foi.hackney.gov.uk,"London Borough of Hackney, United Kingdom",Hackney London Borough Council,https://foi.hackney.gov.uk/foi,https://web.archive.org/web/*/https://foi.hackney.gov.uk/foi
Слободен пристап,Macedonia,Foundation Open Society ,http://www.slobodenpristap.mk,https://web.archive.org/web/*/http://www.slobodenpristap.mk/
National Transparency Platform,Mexico,Federal government of Mexico,https://www.plataformadetransparencia.org.mx,https://web.archive.org/web/*/http://www.plataformadetransparencia.org.mx
OPRA Machine,"New Jersey, United States of America",Rozzi Media Group,https://opramachine.com,https://web.archive.org/web/*/https://opramachine.com
Open FOIL NY,"New York, United States of America",Government of the State of New York,https://www.ny.gov/programs/open-foil-ny,https://web.archive.org/web/*/https://www.ny.gov/programs/open-foil-ny
FYI.org.nz,New Zealand,The New Zealand Herald,https://fyi.org.nz,https://web.archive.org/web/*/https://fyi.org.nz/
Derecho A Preguntar (“Right To Ask”),Nicaragua,Fundación Violeta Barrios de Chamorro,https://derechoapreguntar.org,https://web.archive.org/web/*/https://derechoapreguntar.org
Mimes Brønn,Norway,,https://www.mimesbronn.no,https://web.archive.org/web/*/https://www.mimesbronn.no
eFOI,Philippines,Government of the Philippines,https://www.foi.gov.ph,https://web.archive.org/web/*/https://www.foi.gov.ph/
Nu Vă Supărați,Romania,,https://nuvasuparati.info,https://web.archive.org/web/*/https://nuvasuparati.info/
Sobanukirwa,Rwanda,Tumenye,https://sobanukirwa.rw,https://web.archive.org/web/*/https://sobanukirwa.rw/
Informini,Tunisia,Onshor,http://informini.org,https://web.archive.org/web/*/http://informini.org
Bilmehakki,Turkey,,https://bilmehakki.org,https://web.archive.org/web/*/https://bilmehakki.org
Ask Your Gov,Uganda,Africa Freedom of Information Centre,http://askyourgov.ug,https://web.archive.org/web/*/http://askyourgov.ug
Доступ до правди (“Access to the truth”),Ukraine,CentreUA,https://dostup.detector.media,https://web.archive.org/web/*/https://dostup.detector.media/
WhatDoTheyKnow,United Kingdom,mySociety,https://www.whatdotheyknow.com,https://web.archive.org/web/*/https://www.whatdotheyknow.com/
MuckRock,United States of America,Muckrock,https://www.muckrock.com,https://web.archive.org/web/*/https://www.muckrock.com/
FOIA.gov,United States of America,United States Government,https://www.foia.gov,https://web.archive.org/web/*/https://www.foia.gov/
iFOIA.org,United States of America,Reporters Committee for Freedom of the Press,https://ifoia.org,https://web.archive.org/web/*/https://ifoia.org/
Que Sabes (“What do you know”),Uruguay,DATA Uruguay & Cainfo,https://www.quesabes.org,https://web.archive.org/web/*/https://www.quesabes.org/