Name,Party,Website,Twitter,Facebook,YouTube,Instagram
Sadiq Khan,Labour,https://sadiq.london/,https://twitter.com/SadiqKhan,https://facebook.com/sadiqforlondon,https://youtube.com/channel/UCcUYHypsDUoNOOhyNkU4KgQ,https://www.instagram.com/sadiq/
Shaun Bailey,Conservative,https://www.shaunbailey.uk/,https://twitter.com/ShaunBaileyUK,https://www.facebook.com/ShaunBaileyUK,,https://www.instagram.com/shaunbaileyam
Siân Berry,Green Party,https://www.sianberry.london/,https://twitter.com/sianberry,https://facebook.com/sianberrygreen,https://www.youtube.com/channel/UCAYkrCdC6jkAjIV0O15ccfA,https://www.instagram.com/sian_berry/
Luisa Porritt,Liberal Democrats,https://www.luisa4london.co.uk/,https://twitter.com/LuisaPorritt,https://www.facebook.com/LuisaMPorritt,,https://instagram.com/luisaporritt
Kam Balayev ,Renew Party,https://www.kam4london.co.uk/,https://twitter.com/Kam4London,https://www.facebook.com/Kam4London/,https://www.youtube.com/channel/UCIK6BklkdItpNtJVJGo8R_Q,https://www.instagram.com/kam4london/
Valerie Brown ,Burning Pink,https://burningpink.earth/valerie-for-london/,https://twitter.com/Valerie4London,https://www.facebook.com/Valerie4London,,https://www.instagram.com/valerie4london/
Laurence Fox,Reclaim Party ,https://laurencefoxforlondon.co.uk/,https://twitter.com/LozzaFox,,,https://www.instagram.com/lozzafox1/
Peter Gammons ,UK Independence Party,https://gammons.london/,https://twitter.com/gammons4london,https://www.facebook.com/gammonsforlondon,,https://www.instagram.com/gammonsforlondon/
Richard Hewison,Rejoin EU ,https://rejoin.london/mayor/,https://twitter.com/RejoinP,,,
David Kurten,Heritage Party,https://www.davidkurten.net/,https://twitter.com/davidkurten,http://www.facebook.com/davidkurtenuk,https://www.youtube.com/channel/UCcrXL4CtKiu8KOsWWUYdcXA,
Vanessa Hudson,Animal Welfare Party,https://www.animalwelfareparty.org/current-elections/2021london/,https://twitter.com/AnimalsCount,https://www.facebook.com/Animal.Welfare.Party/,https://www.youtube.com/channel/UCtVSuHFfYNTJdqoI9lw3GqQ,
Mandu Reid,Women's Equality Party,https://www.womensequality.org.uk/mandu_reid_gla,https://twitter.com/ManduReid,,,
Steve Kelleher,Social Democratic Party,http://sdp.org.uk/,https://twitter.com/stevekSDP,,,
Count Binface,Count Binface for Mayor of London,https://www.countbinface.com/,https://twitter.com/countbinface,,https://www.youtube.com/channel/UClAxTtZvmP5yyBTiWj-6vhw,
Piers Corbyn,Let London Live ,,https://twitter.com/Piers_Corbyn,,,
Max Fosh,Independent,https://www.maxfosh.co/,https://twitter.com/max_fosh,,https://www.youtube.com/c/MaxFosh,https://www.instagram.com/max.fosh/
Farah London,Independent,https://votefarah.london/,https://twitter.com/MsFarahLondon,https://www.facebook.com/msfarahlondon,,https://www.instagram.com/msfarahlondon/
Nims Obunge,Independent,https://www.nimsforlondon.com/,https://twitter.com/nimsobungeuk,https://www.facebook.com/nimsobungeuk/,,https://www.instagram.com/nimsobungeuk/
Niko Omilana,Independent,,https://twitter.com/NikoOmilana,,https://youtube.com/user/omilana7,https://www.instagram.com/niko/
Brian Rose,London Real Party,https://brianformayor.london/,https://twitter.com/brianrose4mayor,https://facebook.com/brianrose4mayor,,https://www.instagram.com/brianrose4mayor/