Year,President,Homepage Archive
2012,Barack Obama,http://web.archive.org/web/20120124171141/https://www.google.com
2013,Barack Obama,http://web.archive.org/web/20130212170303/https://www.google.com
2014,Barack Obama,http://web.archive.org/web/20140128170400/https://www.google.com
2015,Barack Obama,http://web.archive.org/web/20150120074415/https://www.google.com
2016,Barack Obama,http://web.archive.org/web/20160112153929/https://www.google.com
2018,Donald Trump,https://web.archive.org/web/20180131023314/http://www.google.com/
2019,Donald Trump,https://web.archive.org/web/20190205200017/https://www.google.com/
2020,Donald Trump,https://web.archive.org/web/20200204225917/http://www.google.com
2022,Joe Biden,https://web.archive.org/web/20220301220017/http://www.google.com/
2023,Joe Biden,https://web.archive.org/web/20230207211406/https://www.google.com/