Title,Publisher ,Frequency,Date Closed,Website ,Website Archive,Edition Archive[0],Edition Archive[1],Items
Tunbridge Wells on Saturday,KOS Media,Weekly,January 2011,,,https://archive.org/search.php?query=Tunbridge+Wells+on+Saturday&and%5B%5D=mediatype%3A%22texts%22&and%5B%5D=creator%3A%22kos+media%22&sort=-date,,62
Your Ashford,KOS Media,Weekly,December 2012,http://www.yourashford.co.uk/,https://web.archive.org/web/20120102070118/http://www.yourashford.co.uk:80/home,https://archive.org/details/your-ashford-newspaper?sort=-date,,271
Your Canterbury,KOS Media,Weekly,December 2012,http://www.yourcanterbury.co.uk/,https://web.archive.org/web/20111227222939/http://www.yourcanterbury.co.uk:80/home,https://archive.org/details/your-canterbury-newspaper?sort=-date,,269
Your Deal,KOS Media,Weekly,December 2013,http://www.yourdeal-sandwich.co.uk/,https://web.archive.org/web/20111231205751/http://www.yourdeal-sandwich.co.uk/home,https://archive.org/search.php?query=Your+Deal&and%5B%5D=mediatype%3A%22texts%22&and%5B%5D=subject%3A%22Newspaper%22&sort=-date,,171
Your Dover,KOS Media,Weekly,December 2012,http://www.yourdover.co.uk/,https://web.archive.org/web/20111231205751/http://www.yourdover.co.uk:80/home,https://archive.org/details/your-dover-newspaper?sort=-date,,268
Your Leek Paper,KOS Media,Weekly,December 2012,,,,,
Your Maidstone,KOS Media,Weekly,December 2012,http://www.yourmaidstone.co.uk/,https://web.archive.org/web/20111231114240/http://www.yourmaidstone.co.uk:80/home,https://archive.org/search.php?query=Your+Maidstone&sort=-date&and[]=mediatype%3A%22texts%22&and[]=creator%3A%22kos+media%22&and[]=!subject%3A%22Shepway%22,,267
Your Medway,KOS Media,Weekly,December 2012,http://www.yourmedway.co.uk/,https://web.archive.org/web/20111231215316/http://www.yourmedway.co.uk/home,https://archive.org/details/your-medway-newspaper?sort=-date,,266
Your Sandwich,KOS Media,Weekly,December 2012,http://www.yoursandwich.co.uk/,https://web.archive.org/web/20120101111200/http://www.yoursandwich.co.uk/home,https://archive.org/details/your-sandwich-newspaper?sort=-date,,170
Your Sevenoaks,KOS Media,Weekly,December 2012,http://www.yoursevenoaks.co.uk/,https://web.archive.org/web/20111231113859/http://www.yoursevenoaks.co.uk/home,,,
Your Shepway,KOS Media,Weekly,December 2012,http://www.yourshepway.co.uk/,https://web.archive.org/web/20120102030058/http://www.yourshepway.co.uk/home,https://archive.org/details/your-shepway?sort=-date,,268
Your Swale,KOS Media,Weekly,December 2012,http://www.yourswale.co.uk/,https://web.archive.org/web/20111231224821/http://www.yourswale.co.uk:80/home,https://archive.org/details/your-swale?sort=-date,,266
Your Thanet,KOS Media,Weekly,December 2012,http://www.yourthanet.co.uk/,https://web.archive.org/web/20111231091915/http://www.yourthanet.co.uk:80/home,,,
Your Tonbridge,KOS Media,Weekly,December 2012,http://www.yourtonbridge.co.uk/,https://web.archive.org/web/20120430211249/http://www.yourtonbridge.co.uk:80/home,,,
Your Tunbridge Wells,KOS Media,Weekly,December 2012,http://www.yourtunbridgewells.co.uk/,https://web.archive.org/web/20120430211249/http://www.yourtunbridgewells.co.uk/home,https://archive.org/search.php?query=Your+Tunbridge+Wells&and%5B%5D=mediatype%3A%22texts%22&and%5B%5D=creator%3A%22kos+media%22&sort=-date,,99
The Blackburn Citizen,Newsquest,Weekly,April 2013,http://www.blackburncitizen.co.uk/,https://web.archive.org/web/20140328195510/http://www.blackburncitizen.co.uk,https://archive.org/details/@verifiedjoseph?and%5B%5D=Blackburn+Citizen&and%5B%5D=mediatype%3A%22texts%22&and%5B%5D=creator%3A%22newsquest+%28north+west%29+ltd%22&sort=-date,,217
The Burnley Citizen,Newsquest,Weekly,April 2013,http://www.burnleycitizen.co.uk/,https://web.archive.org/web/20140208044157/http://www.burnleycitizen.co.uk,https://archive.org/search.php?query=The+Burnley+Citizen&and%5B%5D=creator%3A%22newsquest+%28north+west%29+ltd%22&and%5B%5D=mediatype%3A%22texts%22&sort=-publicdate,,217
Oxford Journal,Taylor Newspapers Ltd,Weekly,2014,http://www.oxfordjournal.co.uk/,https://web.archive.org/web/20140516194942/http://oxfordjournal.co.uk/,https://archive.org/details/oxford-journal?sort=-date,,44
Oxfordshire Guardian (Central),Taylor Newspapers Ltd,Weekly,2014,http://www.oxfordshireguardian.co.uk/,https://web.archive.org/web/20180617193408/http://www.oxfordshireguardian.co.uk/,https://archive.org/search.php?query=Oxfordshire+Guardian+%28Central%29&and%5B%5D=creator%3A%22taylor+newspapers+ltd%22&sort=-date,,20
Oxfordshire Guardian (West),Taylor Newspapers Ltd,Weekly,2014,http://www.oxfordshireguardian.co.uk/,https://web.archive.org/web/20180617193408/http://www.oxfordshireguardian.co.uk/,https://archive.org/details/@verifiedjoseph?tab=uploads&and[]=Oxfordshire+Guardian+%28West%29&sort=-date&and[]=creator%3A%22taylor+newspapers+ltd%22,,18
Crewkerne Weekender,Sunday Independent Ltd,Weekly,2015,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/crewkerne-weekender?sort=-date,,236
Chichester Herald,Chichester Herald Ltd,Weekly,2015,http://www.chichesterherald.co.uk/,https://web.archive.org/web/20120614215112/http://www.chichesterherald.co.uk:80/,https://archive.org/details/chichester-herald?sort=-publicdate,,137
St Helens Reporter,Johnston Press,Weekly,October 2015,http://www.sthelensreporter.co.uk,https://web.archive.org/web/20151001075630/http://www.sthelensreporter.co.uk,https://archive.org/search.php?query=St+Helens+Reporter&and%5B%5D=mediatype%3A%22texts%22&and%5B%5D=subject%3A%22Newspaper%22&sort=-date,,55
Northampton Mercury,Johnston Press,Weekly,October 2015,,,https://archive.org/search.php?query=Northampton+Mercury&and%5B%5D=mediatype%3A%22texts%22&and%5B%5D=subject%3A%22Newspaper%22&sort=-publicdate,,
Nuneaton News,Trinity Mirror,Daily,May 2016,http://www.nuneaton-news.co.uk/,https://web.archive.org/web/20160501000000*/http://www.nuneaton-news.co.uk/,,,
Kingston Guardian,Newsquest,Weekly,September 2016,http://www.kingstonguardian.co.uk/,https://web.archive.org/web/20160422085044/http://www.kingstonguardian.co.uk/,https://archive.org/search.php?query=Kingston+Guardian&and%5B%5D=subject%3A%22Newspaper%22&sort=-publicdate,,298
Luton On Sunday,Trinity Mirror,Weekly,October 2016,,,https://archive.org/details/luton-on-sunday?sort=-date,,329
Northampton Herald & Post,Trinity Mirror,Weekly,October 2016,http://www.northampton-news-hp.co.uk/,https://web.archive.org/web/20140208115411/http://www.northampton-news-hp.co.uk/Home,https://archive.org/search.php?query=Northampton+Herald+%26+Post&and%5B%5D=subject%3A%22Newspaper%22&sort=-date,,411
OneMK (formerly MK News),Trinity Mirror,Weekly,October 2016,http://www.onemk.co.uk/,https://web.archive.org/web/20160501000000*/http://www.onemk.co.uk/,https://archive.org/details/onemk?sort=-publicdate,,38
The Newry Advertiser,Observer Newspapers NI Ltd,Monthly,April 2017,http://newry-advertiser.com/,https://web.archive.org/web/*/http://newry-advertiser.com/,https://archive.org/details/newry-advertiser?sort=-publicdate,,29
Haringey Advertiser,Tindle Newspapers,Weekly,July 2017,http://www.haringey-today.co.uk/,https://web.archive.org/web/20170606021241/http://www.haringey-today.co.uk/,https://archive.org/search.php?query=Haringey+Advertiser&sort=-date&and[]=mediatype%3A%22texts%22&and[]=subject%3A%22Newspaper%22,,407
Fulham Chronicle,Capital Media Newspapers Ltd,Weekly,July 2017,http://www.fulhamchronicle.co.uk,https://web.archive.org/web/20130615222840/http://www.fulhamchronicle.co.uk,https://archive.org/search.php?query=Fulham+Chronicle&sort=-date&and[]=creator%3A%22capital+news+%26+media+ltd%22&and[]=creator%3A%22capital+media+newspapers+ltd%22,,122
Shepherdâ€™s Bush Chronicle,Capital Media Newspapers Ltd,Weekly,July 2017,http://www.shepherds-bush-news.co.uk,https://web.archive.org/web/20160520115009/http://www.shepherds-bush-news.co.uk:80/,https://archive.org/search.php?query=Shepherd%27s+Bush+Chronicle&and[]=mediatype%3A%22texts%22&sort=-publicdate&and[]=subject%3A%22Newspaper%22,,94
Hammersmith Chronicle,Capital Media Newspapers Ltd,Weekly,July 2017,,,https://archive.org/search.php?query=Hammersmith+Chronicle&and%5B%5D=subject%3A%22Newspaper%22&and%5B%5D=mediatype%3A%22texts%22&sort=-publicdate,,91
Kensington & Chelsea News,Capital Media Newspapers Ltd,Weekly,July 2017,,,https://archive.org/search.php?query=Kensington+%26+Chelsea+News&and%5B%5D=mediatype%3A%22texts%22&and%5B%5D=subject%3A%22Newspaper%22&sort=-date,,
Cleethorpes Chronicle,??,Weekly,August 2017,http://www.cleethorpeschronicle.co.uk/,https://web.archive.org/web/*/http://www.cleethorpeschronicle.co.uk/,,,
Ely News,Trinity Mirror,Weekly,August 2017,http://ely-news.co.uk/Home/,https://web.archive.org/web/*/http://ely-news.co.uk/Home/,https://archive.org/details/ely-news?sort=-publicdate,https://archive.org/details/ely-weekly-news,554
Haverhill News,Trinity Mirror,Weekly,August 2017,http://cambridge-news.co.uk/haverhill,https://web.archive.org/web/20160415000000*/http://cambridge-news.co.uk/haverhill,https://archive.org/details/haverhill-news?sort=-date,,529
Newmarket News,Trinity Mirror,Weekly,August 2017,http://www.newmarketweeklynews.co.uk/,https://web.archive.org/web/*/http://www.newmarketweeklynews.co.uk/,https://archive.org/details/newmarket-news?sort=-publicdate,,526
Banbury Cake,Newsquest,Weekly,September 2017,http://www.banburycake.co.uk/,https://web.archive.org/web/20180613192039/http://www.banburycake.co.uk/,https://archive.org/details/banbury-cake?sort=-date,,321
The Ramsey and Warboys Reporter,The Ramsey and Warboys Reporter CIC,Weekly,October 2017,,,https://archive.org/details/ramsey-and-warboys-reporter?sort=-publicdate,,27
The Ceredigion Herald,Herald Newspapers PLC,Weekly,December 2017,https://ceredigionherald.com/,https://web.archive.org/web/20170315000000*/https://ceredigionherald.com/,,,
Stretford & Urmston Messenger,Newsquest,Weekly,December 2017,http://www.messengernewspapers.co.uk/,https://web.archive.org/web/20171211132055/http://www.messengernewspapers.co.uk/,,,
Sale & Altrincham Messenger,Newsquest,Weekly,December 2017,http://www.messengernewspapers.co.uk/,https://web.archive.org/web/20171211132055/http://www.messengernewspapers.co.uk/,,,
The Sports Pink,Newsquest,Weekly,December 2017,http://www.dailyecho.co.uk/sport/the_pink/,https://web.archive.org/web/20180121142726/http://www.dailyecho.co.uk/sport/the_pink/,https://archive.org/search.php?query=The+Sports+Pink&and%5B%5D=mediatype%3A%22texts%22&and%5B%5D=subject%3A%22Newspaper%22&sort=-publicdate,,330
Pulman's Weekly News Axminster,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-axminster?sort=-date,,443
View from Bridport,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-bridport,,427
Pullman's View from Crewkerne,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-crewkerne?sort=-date,,95
Crewkerne Weekender,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/crewkerne-weekender?sort=-date,,236
View from Dorchester,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-dorchester?sort=-date,,427
Pulman's View from Honiton,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-honiton?sort=-date,,443
View from Lyme Regis,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-lyme-regis?sort=-date,,428
View from Seaton and Beer,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-seaton?sort=-date,,443
View From South Somerset,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-south-somerset-newspaper?sort=-date,,48
View from Weymouth,Sunday Independent Ltd,Weekly,January 2018,https://www.viewnews.co.uk/,https://web.archive.org/web/20180118164421/https://www.viewnews.co.uk/,https://archive.org/details/view-from-weymouth?sort=-date,,427
Basingstoke Observer,Taylor Newspapers Ltd,Weekly,May 2018,http://www.basingstokeobserver.co.uk/,https://web.archive.org/web/20180604231248/http://www.basingstokeobserver.co.uk/,https://archive.org/details/basingstoke-observer?sort=-date,,241
The Oxford Paper,Taylor Newspapers Ltd,Weekly,May 2018,http://www.theoxfordpaper.co.uk/,https://web.archive.org/web/20180614025048/http://www.theoxfordpaper.co.uk/,https://archive.org/details/the-oxford-paper?sort=-date,,70
Oxfordshire Guardian (Abingdon),Taylor Newspapers Ltd,Weekly,May 2018,http://www.oxfordshireguardian.co.uk/,https://web.archive.org/web/20180617193408/http://www.oxfordshireguardian.co.uk/,https://archive.org/details/@verifiedjoseph?tab=uploads&creator%3A%22taylor+newspapers+ltd%22&and[]=subject%3A%22Wantage%2C+Oxfordshire%22&and[]=subject%3A%22Abingdon-on-Thames%2C+Oxfordshire%22&sort=-date,,235
Oxfordshire Guardian (Bicester),Taylor Newspapers Ltd,Weekly,May 2018,http://www.oxfordshireguardian.co.uk/,https://web.archive.org/web/20180617193408/http://www.oxfordshireguardian.co.uk/,https://archive.org/details/@verifiedjoseph?tab=uploads&and%5B%5D=creator%3A%22taylor+newspapers+ltd%22&and%5B%5D=subject%3A%22Bicester%2C+Oxfordshire%22&sort=-date,,103
Oxfordshire Guardian (City & Kidlington),Taylor Newspapers Ltd,Weekly,May 2018,http://www.oxfordshireguardian.co.uk/,https://web.archive.org/web/20180617193408/http://www.oxfordshireguardian.co.uk/,https://archive.org/details/@verifiedjoseph?and%5B%5D=creator%3A%22taylor+newspapers+ltd%22&and%5B%5D=subject%3A%22Kidlington%2C+Oxfordshire%22&sort=-date,,195
Oxfordshire Guardian (Didcot),Taylor Newspapers Ltd,Weekly,May 2018,http://www.oxfordshireguardian.co.uk/,https://web.archive.org/web/20180617193408/http://www.oxfordshireguardian.co.uk/,https://archive.org/details/@verifiedjoseph?and%5B%5D=creator%3A%22taylor+newspapers+ltd%22&and%5B%5D=subject%3A%22Didcot%2C+Oxfordshire%22&sort=-date,,235
Oxfordshire Guardian (Witney),Taylor Newspapers Ltd,Weekly,May 2018,http://www.oxfordshireguardian.co.uk/,https://web.archive.org/web/20180617193408/http://www.oxfordshireguardian.co.uk/,https://archive.org/details/@verifiedjoseph?and%5B%5D=creator%3A%22taylor+newspapers+ltd%22&and%5B%5D=subject%3A%22Witney%2C+Oxfordshire%22&sort=-date,,199
Epsom Guardian,Newsquest,Weekly,September 2018,https://www.epsomguardian.co.uk/,https://web.archive.org/web/20180921082526/https://www.epsomguardian.co.uk/,https://archive.org/search.php?query=Epsom+Guardian&and%5B%5D=creator%3A%22newsquest+media+group+ltd%22&and%5B%5D=mediatype%3A%22texts%22&sort=-publicdate,,397
